rank,company,revenue ($ millions),profit ($ millions)
198,Aramark,15789.6,567.9
199,Texas Instruments,15784,5580
200,General Mills,15740.4,2131
201,Supervalu,15679,45
202,Colgate-Palmolive,15544,2400
203,Goodyear Tire & Rubber,15475,693
204,PayPal Holdings,15451,2057
205,PPG Industries,15374,1341
206,Omnicom Group,15290.2,1326.4
207,Celgene,15281,4046
208,Jacobs Engineering Group,14984.6,163.4
209,Ross Stores,14983.5,1587.5
210,Marsh & McLennan,14950,1650
210,Mastercard,14950,5859
212,Land O'Lakes,14936.2,254.5
213,Waste Management,14914,1925
214,Illinois Tool Works,14768,2563
215,Ecolab,14668.2,1429.1
216,Booking Holdings,14527,3998
217,CBS,14514,1960
218,Parker-Hannifin,14302.4,1060.8
219,Principal Financial,14237.2,1546.5
220,DTE Energy,14212,1120
221,BlackRock,14198,4305
222,United States Steel,14178,1115
223,Community Health Systems,14155,-788
224,Kinder Morgan,14144,1609
225,Qurate Retail,14070,916
226,Loews,14066,636
227,Arconic,14014,642
228,Stanley Black & Decker,13982.4,605.2
229,Textron,13972,1222
230,Las Vegas Sands,13729,2413
231,Estee Lauder,13683,1108
232,DISH Network,13621.3,1575.1
233,Stryker,13601,3553
234,Kellogg,13547,1336
235,Biogen,13452.9,4430.7
236,Alcoa,13403,227
237,Anadarko Petroleum,13382,615
238,Dominion Energy,13366,2447
239,ADP,13325.8,1620.8
240,salesforce.com,13282,1110
241,L Brands,13236.9,643.9
242,Henry Schein,13202,535.9
243,Newell Brands,13033.1,-6917.9
244,Guardian Life Ins. Co. of America,13014.9,464.9
245,BJ's Wholesale Club,13007.3,127.3
246,BB&T Corp.,12996,3237
247,State Street Corp.,12973,2599
248,Viacom,12943,1719
249,Ameriprise Financial,12924,2098
250,Core-Mark Holding,12903.9,45.5
251,Reinsurance Group of America,12875.7,715.8
252,VF,12862.3,658.6
253,Discover Financial Services,12848,2742
254,Global Partners,12672.6,103.9
255,Edison International,12657,-423
256,Oneok,12593.2,1151.7
257,Murphy USA,12524,213.6
258,Bed Bath & Beyond,12349.3,424.9
259,Consolidated Edison,12337,1382
260,CSX,12250,3309
261,J.C. Penney,12019,-255
262,LKQ,11876.7,480.1
263,FirstEnergy,11864,1348
264,Steel Dynamics,11821.8,1258.4
265,Lithia Motors,11821.4,265.7
266,MGM Resorts International,11763.1,466.8
267,Tenneco,11763,55
268,Nvidia,11716,4141
269,Sempra Energy,11687,1049
270,Farmers Insurance Exchange,11650.4,-70.5
271,Ball,11635,454
272,Group 1 Automotive,11601.4,157.8
273,Unum Group,11598.5,523.4
274,Xcel Energy,11537,1261
275,Reliance Steel & Aluminum,11534.5,633.7
276,Huntsman,11527,337
277,Norfolk Southern,11458,2666
278,Laboratory Corp. of America,11333.4,883.7
279,Corning,11290,1066
280,Expedia Group,11223,406
281,AutoZone,11221.1,1337.5
282,W.W. Grainger,11221,782
283,Quanta Services,11171.4,293.3
284,Crown Holdings,11151,439
285,Office Depot,11130,104
286,Baxter International,11127,1624
287,Lam Research,11077,2380.7
288,Entergy,11009.5,848.7
289,Charles Schwab,10989,3507
290,L3 Technologies,10841,1005
291,NRG Energy,10797,268
292,Live Nation Entertainment,10787.8,60.2
293,Universal Health Services,10772.3,779.7
294,Molson Coors Brewing,10769.6,1116.5
295,eBay,10746,2530
296,AES,10736,1203
297,Devon Energy,10734,3064
298,Pacific Life,10699,913
299,CenterPoint Energy,10589,368
300,Discovery,10553,594
301,BorgWarner,10529.6,930.7
302,Targa Resources,10484,1.6
303,Ally Financial,10466,1263
304,SunTrust Banks,10431,2775
305,IQVIA Holdings,10412,259
306,American Family Insurance Group,10336.2,295.3
307,Delek US Holdings,10265.6,340.1
308,Navistar International,10250,340
309,Chesapeake Energy,10231,873
310,United Natural Foods,10226.7,165.7
311,Leidos Holdings,10194,581
312,PulteGroup,10188.3,1022
313,Eastman Chemical,10151,1080
314,Republic Services,10040.9,1036.9
315,Mohawk Industries,9983.6,861.7
316,Sonic Automotive,9951.6,51.7
317,Owens & Minor,9838.7,-437
318,Xerox,9830,361
319,Boston Scientific,9823,1671
320,DCP Midstream,9822,298
321,Autoliv,9801.1,190.4
322,Interpublic Group,9714.4,618.9
323,Public Service Enterprise Group,9696,1438
324,PVH,9656.8,746.4
325,Mosaic,9587.3,470
326,Advance Auto Parts,9580.6,423.8
327,Altice USA,9566.6,18.8
328,Hormel Foods,9545.7,1012.1
329,O'Reilly Automotive,9536.4,1324.5
330,Calpine,9512,10
331,Hertz Global Holdings,9504,-225
332,First Data,9498,1005
333,Pioneer Natural Resources,9415,978
334,Coty,9398,-168.8
335,AGCO,9352,285.5
336,Mutual of Omaha Insurance,9347.2,277.3
337,Vistra Energy,9144,-54
338,Avis Budget Group,9124,165
339,Adobe,9030,2590.8
340,Peter Kiewit Sons',9025,468
341,News Corp.,9024,-1514
342,Brighthouse Financial,8965,865
343,Voya Financial,8934,875
344,Air Products & Chemicals,8930.2,1497.8
345,Hilton Worldwide Holdings,8906,764
346,GameStop,8850.7,-673
347,Veritiv,8696.2,-15.7
348,Williams,8686,-155
349,Campbell Soup,8685,261
350,Rockwell Collins,8665,1032
351,Thrivent Financial for Lutherans,8635.2,1233.9
352,Westlake Chemical,8635,996
353,Univar,8632.5,172.3
354,J.B. Hunt Transport Services,8614.9,489.6
355,Frontier Communications,8611,-643
356,Jones Financial (Edward Jones),8594,990
357,National Oilwell Varco,8453,-31
358,Eversource Energy,8448.2,1033
359,Dick's Sporting Goods,8436.6,319.9
360,Genworth Financial,8430,119
361,Fidelity National Information Services,8423,846
362,Yum China Holdings,8415,708
363,Ryder System,8409.2,273.3
364,Anixter International,8400.2,156.3
365,Caesars Entertainment,8391,303
366,Masco,8359,734
367,Thor Industries,8328.9,430.2
368,Alaska Air Group,8264,437
369,Amphenol,8202,1205
370,WESCO International,8176.6,227.3
371,Huntington Ingalls Industries,8176,836
372,Jefferies Financial Group,8151.8,1026.8
373,Dana,8143,427
374,Expeditors Intl. of Washington,8138.4,618.2
375,EMCOR Group,8130.6,283.5
376,Darden Restaurants,8080.1,596
377,SpartanNash,8064.6,33.6
378,Assurant,8057.6,251
379,United Rentals,8047,1096
380,Liberty Media,8040,531
381,Erie Insurance Group,8030.7,686.3
382,Auto-Owners Insurance,7999.3,754.5
383,Cheniere Energy,7987,471
384,Fifth Third Bancorp,7973,2193
385,Foot Locker,7939,541
386,Conagra Brands,7938.3,808.4
387,Zimmer Biomet Holdings,7932.9,-379.2
388,Tractor Supply,7911,532.4
389,Berry Global Group,7869,496
390,Alliance Data Systems,7791.2,963.1
